Blog	web	lol	ryan	de	band	album	jesus	mommy	grant	haha	christ	hannah	data	daddy	lord	pics	james	tour	social	digital	mix	students	china	records	library	thankful	site	english	chinese	pray	damn	record	language	club	content	bus	elder	charlie	war	africa	pages	research	session	darling	search	conference	facebook	omg	difficult	mentioned	released	till	writes	radio	recent	hell	disease	trust	george	bill	review	google	current	grandma	members	president	michael	dj	author	wanna	study	dr	hehe	release	community	sold	color	gifts	davis	design	eventually	technology	suppose	report	university	national	apartment	article	presented	restaurant	honestly	french	challenge	youtube	character	scott	guitar	america	santa	file	previous	west	culture	easter	folks	miles	media	bike	annie	goal	yard	collection	station	issues	copy	south	el	police	sharing	blogs	similar	surgery	blessed	prayer	presentation	aunt	grace	program	software	mama	dont	heat	truck	film	hip	singapore	mood	king	results	training	lights	mail	image	dogs	babies	response	award	hop	machine	government	states	performance	david	flight	action	sea	sale	mission	grateful	bear	speaking	kate	scene	shit	tracks	families	brothers	october	built	crowd	im	links	blogspot	allowed	projects	interest	health	pic	tea	details	race	thanksgiving	concert	practice	camp	issue	purpose	tim	suddenly	events	writer	ball	ha	september	bags	success	candy	build	dropped	crying	york	images	halloween	cheese	common	gorgeous	result	hubby	tickets	ah	figured	malaysia	van	reminded	african	dave	comfortable	san	inspired	literally	million	items	society	org	gotta	river	yummy	football	drew	cross	popular	london	favourite	musical	north	flowers	named	painting	chris	bathroom	]	wide	cost	vacation	paint	expected	resources	nap	points	hall	forgotten	activities	november	source	airport	path	asleep	hearing	holy	huh	mad	comfort	shared	mountain	text	secret	covered	meal	progress	winner	bands	board	access	mess	possibly	shots	january	routine	fully	strength	continued	dan	originally	katie	christian	science	hadn	videos	slightly	reach	include	joined	delicious	lazy	describe	credit	chase	fat	changing	freedom	feelings	falling	lines	chose	accept	provide	checked	teaching	taught	skin	block	discovered	empty	pre	characters	island	kit	slept	classes	buying	visited	label	adventure	studio	jack	notes	tag	hahaha	cd	blast	related	lake	worried	blame	closed	barely	attended	legs	zone	crew	knowledge	quote	html	hill	member	lessons	sigh	teeth	application	manage	marriage	happiness	code	natural	glass	fashion	push	prepared	papers	prayers	extremely	lesson	background	pants	positive	ladies	los	festival	broke	checking	doubt	angry	east	hearts	letters	tend	steps	gold	attempt	rich	effect	thinks	twitter	couch	direction	desire	fans	student	swimming	beer	losing	chair	product	robert	seconds	handle	rules	subject	grade	readers	recorded	sugar	tom	presents	force	grand	friendly	storm	included	teach	schedule	jazz	term	fingers	visiting	joe	audience	returned	scary	oil	goodness	development	press	united	hungry	cousin	agree	county	political	animals	lie	wet	milk	uncle	respect	model	feed	driver	sight	cookies	artist	career	incredible	official	em	ends	passion	pack	mum	classic	shoot	topic	ma	material	hero	tools	traditional	attend	recipe	eve	familiar	bruce	grandpa	ft	cleaning	photography	shouldn	grab	farm	dry	position	fix	stars	department	key	fuck	bath	ass	ben	greatest	plenty	bread	contest	heading	para	dressed	sex	screen	february	lyrics	singer	pair	garage	soft	awhile	answers	laptop	rare	celebration	hmm
Never Ending Journey	1	62	0	20	7	3	12	2	1	1	5	0	2	9	3	4	0	10	22	1	16	5	1	15	11	9	14	13	1	6	34	9	23	1	9	9	0	0	9	1	3	6	3	1	6	2	15	14	40	29	7	76	1	4	27	16	1	28	4	19	5	7	16	1	9	1	2	0	2	4	27	3	0	14	16	11	18	22	0	1	22	5	12	13	2	4	2	11	0	14	27	10	22	2	15	17	2	6	10	8	23	15	4	3	38	52	11	2	0	6	59	8	9	20	2	16	3	4	7	13	29	9	6	10	4	10	2	15	7	3	1	18	105	3	12	0	11	21	7	37	17	8	4	114	27	11	3	1	9	2	5	1	5	19	12	4	9	2	0	13	15	0	7	3	4	17	6	10	20	3	2	6	3	20	5	8	42	3	36	15	2	12	0	24	1	11	18	0	17	34	1	6	41	7	24	8	4	16	31	7	3	1	1	16	15	36	11	0	0	2	32	0	6	16	1	7	49	5	6	12	1	32	6	1	15	0	11	8	2	11	2	0	1	0	8	13	8	7	1	13	5	16	16	13	14	13	2	17	5	3	16	7	3	5	19	32	11	26	16	10	2	24	8	43	10	3	31	15	16	1	1	13	13	35	18	14	6	21	19	16	24	0	8	0	6	2	35	5	19	16	13	9	14	25	7	14	6	4	20	4	3	10	11	13	12	2	31	9	2	32	14	35	14	4	1	10	2	36	6	14	14	0	6	2	2	7	12	0	4	2	13	2	21	16	29	29	4	43	5	10	13	16	1	29	2	6	39	2	5	4	24	12	0	26	19	2	9	11	10	21	9	6	15	4	30	8	1	0	22	15	14	11	20	10	8	17	37	11	6	14	18	10	0	45	20	4	15	1	3	2	21	20	7	4	25	9	11	1	10	1	3	4	1	3	12	8	12	17	10	4	19	3	6	12	16	12	5	24	12	19	44	2	4	1	16	7	17	18	13	15	1	21	3	4	19	1	11	7	17	9	4	3	8	5	4	13	5	19	0	0	4	4	13	3	1	10	7	4	8	8	3	0	0	1	38	3	11	6	5	28	20	32	7	8	14	0	11	0	0	4	3	18	0	8	0	9	4	23	6	1	1	10	6	16	0	4	17	4	8	4
Rhyme and Reason Radio	0	3	5	6	7	117	4	0	0	0	0	0	0	6	5	1	6	17	2	2	36	0	0	11	0	0	1	1	0	0	4	4	4	109	0	1	0	2	4	0	1	0	2	0	1	0	2	0	0	2	27	4	0	21	4	15	0	1	0	11	1	1	0	0	7	0	2	226	0	4	0	3	0	34	5	2	1	1	0	0	0	0	0	1	0	2	0	1	0	0	1	4	0	1	0	1	1	1	0	2	0	11	2	0	2	0	6	0	0	1	0	7	0	1	8	1	11	0	0	1	0	0	0	0	0	0	0	1	1	0	0	5	1	4	103	0	0	16	0	0	1	0	0	1	1	3	2	102	2	0	0	11	0	2	19	3	5	0	1	0	0	0	5	13	16	0	9	15	2	1	0	4	0	0	6	1	0	0	0	2	0	2	2	0	5	1	5	0	0	6	2	0	3	16	0	1	3	1	26	0	8	0	3	0	15	0	0	0	27	0	0	0	2	0	0	2	0	27	4	1	2	0	3	0	3	0	0	0	0	5	0	0	0	4	1	2	0	3	3	0	4	4	1	0	1	0	0	0	0	3	0	0	7	2	0	2	0	5	4	0	4	0	1	1	0	0	0	0	0	10	0	3	2	0	1	0	0	4	0	0	0	6	3	0	0	1	0	7	1	2	3	1	1	1	0	0	1	11	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	2	0	0	0	1	3	8	3	0	0	1	7	0	0	1	0	3	1	0	0	0	1	17	1	0	2	2	8	0	0	0	0	0	1	0	2	1	0	0	6	0	0	0	2	1	0	2	4	1	7	9	0	2	4	0	3	1	0	0	1	6	0	6	4	0	6	0	0	0	6	0	4	0	1	0	2	5	1	0	2	1	0	0	3	0	2	14	0	7	1	0	1	0	0	3	1	1	0	7	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	9	3	5	0	0	0	0	0	14	2	2	18	7	0	3	0	0	25	0	0	2	3	2	1	2	1	0	1	2	0	0	147	1	2	1	1	0	0	0	0	0	0	1	4	0	9	4	2	1	0	1	2	12	1	4	2	0	1	0	0	0	1	0	0	0	5	3	0
blogs r us	0	0	7	2	8	1	3	5	0	0	2	0	1	1	1	1	1	9	1	1	1	1	1	0	0	4	1	2	0	0	0	3	4	2	4	6	0	0	3	1	4	1	0	2	2	0	0	0	0	12	0	1	1	0	0	0	3	2	3	123	0	3	3	9	1	4	1	0	1	0	0	0	0	0	1	3	13	2	0	1	6	2	8	6	0	1	0	1	3	3	0	8	15	0	1	0	5	5	22	1	7	0	0	12	0	1	0	7	19	5	10	1	2	0	2	0	0	6	4	3	0	2	1	4	1	10	5	4	0	6	0	8	5	1	0	0	1	1	1	4	6	2	4	13	4	11	23	4	0	0	1	0	2	0	0	2	2	2	9	10	12	7	1	0	2	1	16	1	3	0	0	1	1	4	3	1	1	0	1	5	4	7	0	7	7	0	11	0	1	2	0	15	0	1	2	4	20	5	3	7	5	0	9	12	1	5	2	0	6	1	14	0	1	17	0	0	4	0	2	1	0	3	1	0	3	0	19	0	2	1	8	1	0	2	0	7	5	3	0	15	0	2	1	11	2	3	0	18	3	1	0	12	2	0	0	1	4	2	2	7	8	4	1	7	0	2	5	3	1	5	1	1	1	3	9	1	3	5	1	2	3	1	1	4	0	0	4	0	2	3	3	1	2	2	2	1	201	6	4	0	0	2	1	6	1	1	5	3	12	4	0	3	11	0	2	1	0	3	0	1	10	1	8	0	2	3	14	0	0	20	2	6	3	2	4	3	2	5	0	4	3	5	1	1	1	7	1	15	0	5	0	0	0	2	4	4	8	6	2	2	3	6	3	8	2	3	0	3	3	5	0	1	0	2	6	2	6	0	5	2	2	13	0	9	1	1	0	0	0	1	3	10	0	9	2	4	7	4	18	0	0	2	1	12	3	3	4	11	5	6	1	0	0	5	2	0	3	1	3	3	8	0	0	2	5	9	7	0	0	17	4	6	9	3	1	1	4	1	4	7	0	0	0	0	0	1	0	12	0	5	8	1	0	0	4	0	0	2	4	4	2	0	5	0	8	5	2	6	19	2	0	6	3	1	2	0	12	0	0	4	4	1	2	2	0	6	3	3	2	0	0	6	1	4	23	5	0	0	1	1
T's Fantasy World	0	8	0	3	1	1	0	1	0	2	0	0	1	0	0	0	0	0	4	0	0	0	1	0	2	3	0	0	1	0	9	2	0	1	8	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	2	0	0	0	0	8	1	14	0	0	0	0	2	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	2	3	0	1	0	2	0	0	1	14	1	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	1	0	1	0	1	0	0	0	0	0	11	0	0	1	1	0	0	1	0	0	1	0	0	0	2	0	0	0	2	0	1	0	0	3	2	1	0	3	2	2	2	0	0	5	0	3	1	0	1	2	3	0	1	0	0	0	3	0	0	4	1	0	1	1	0	1	5	0	7	2	0	0	2	1	0	7	0	1	2	1	0	1	0	1	0	0	1	0	0	2	3	0	0	1	0	0	10	1	4	3	1	0	2	0	3	0	0	0	0	2	2	1	2	0	1	0	0	1	1	0	0	5	3	2	0	3	1	0	0	0	1	0	0	1	0	10	0	0	1	0	5	3	1	4	0	1	3	2	1	0	1	0	1	4	15	0	0	0	3	12	1	0	1	0	0	0	2	0	0	1	0	0	0	2	0	0	2	0	1	18	9	5	1	0	1	0	0	0	1	2	0	0	3	4	0	0	0	0	3	0	0	0	3	0	2	0	0	1	0	2	0	0	5	3	3	1	0	0	0	0	4	0	0	0	0	6	0	0	0	5	2	21	0	11	6	0	1	0	0	0	5	10	0	0	3	0	0	0	3	0	3	1	0	6	0	1	2	0	0	0	2	2	0	0	0	3	0	0	0	2	4	1	0	0	3	1	15	0	0	0	0	0	1	0	7	1	0	0	0	0	0	2	2	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	6	0	2	0	2	0	0	2	14	0	0	2	3	0	0	3	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	3	4	2	0	1	10	0	2	0	4	2	0	0	2	0	0	1	0	0	2	0	0	0	6	0	0	0	2	1	0
Lovin' Life	2	1	0	4	1	0	7	7	1	1	8	230	6	14	8	0	2	9	1	5	9	3	4	2	2	13	8	3	10	5	0	2	1	4	6	5	2	0	1	0	2	6	1	0	3	9	1	0	7	2	1	2	0	4	4	1	0	4	4	5	1	13	4	19	3	8	0	0	2	2	8	2	0	1	0	2	5	5	0	6	12	4	3	1	8	0	7	9	0	4	3	1	16	1	6	1	0	4	7	0	3	0	10	8	3	11	1	26	3	10	9	1	0	0	3	5	3	0	5	7	8	7	15	12	0	20	2	7	0	1	0	5	9	4	1	0	1	1	9	24	6	4	5	0	51	3	3	1	5	1	6	0	2	7	3	1	2	15	16	4	3	0	0	0	1	9	8	3	1	2	3	0	2	0	7	3	4	2	2	8	1	6	0	1	2	0	4	0	1	2	1	14	0	2	1	3	6	7	4	7	2	1	4	3	7	2	2	1	3	1	7	0	11	4	0	0	4	2	5	5	2	3	7	1	0	0	6	16	0	4	3	2	0	3	7	12	7	23	1	16	0	3	7	10	14	6	0	12	4	0	0	12	1	0	3	1	13	6	1	0	4	3	1	5	3	0	3	6	3	3	0	4	0	1	3	1	8	6	1	6	3	0	5	0	0	6	3	2	4	0	2	1	8	4	6	3	2	4	6	24	2	1	6	14	3	2	6	10	10	2	1	0	5	2	2	1	1	3	19	5	8	1	3	0	1	4	2	0	2	4	4	5	5	5	3	3	2	6	5	0	0	2	3	3	6	1	2	8	5	3	4	2	4	7	4	1	10	11	1	2	0	1	7	5	9	5	1	0	6	4	1	3	2	2	1	2	5	2	6	3	5	9	0	9	2	3	5	8	5	0	1	2	1	2	2	8	3	1	2	1	0	7	0	9	31	3	6	9	1	4	6	4	4	6	3	0	0	1	4	18	1	5	0	7	8	3	4	0	1	4	1	7	6	3	4	2	11	6	4	5	3	5	2	3	1	3	0	0	0	3	3	4	0	4	2	0	1	2	2	0	6	0	8	3	11	0	4	3	2	3	4	4	1	0	6	0	11	0	0	5	1	5	1	0	0	7	0	1	1	0	1	1	2	4	3	3	0	2	0	0
Smile! Its Becky!	2	35	0	1	3	2	4	0	1	0	3	0	0	2	4	0	0	1	1	1	1	21	0	0	2	0	8	0	0	10	0	1	0	2	0	10	0	0	2	1	3	0	0	2	4	0	3	0	0	7	4	0	1	0	1	1	0	3	0	0	3	0	0	0	1	1	0	0	0	14	1	2	0	1	3	2	3	6	0	3	1	1	0	1	0	0	0	1	9	1	5	0	4	0	3	0	0	2	6	0	2	0	0	1	10	1	3	0	0	1	1	0	1	0	4	0	0	1	3	21	1	3	3	7	1	4	2	1	0	5	0	0	3	0	0	0	1	1	2	0	4	7	2	3	4	0	40	2	2	0	0	0	3	0	2	1	1	0	1	1	4	0	0	0	1	5	7	4	1	3	2	1	0	3	0	2	0	0	1	2	0	7	2	3	10	0	2	1	1	0	1	5	2	1	2	1	21	0	5	11	0	1	9	1	2	0	1	0	3	1	0	0	0	0	0	0	1	0	4	0	2	0	0	0	5	0	6	0	1	3	3	0	0	0	0	6	1	2	1	7	1	1	4	4	3	0	0	3	1	7	2	3	6	0	0	1	3	1	1	8	4	2	1	1	3	1	2	2	0	2	0	0	0	3	1	3	1	2	3	4	1	1	0	0	1	0	2	0	0	2	2	3	3	6	2	0	0	1	1	2	3	2	1	7	1	0	3	4	2	2	2	0	2	15	2	0	1	1	0	3	0	0	0	0	0	1	17	0	1	2	1	6	0	0	1	6	2	3	0	1	2	1	2	2	1	1	1	2	0	2	1	1	2	0	2	3	2	5	1	2	2	3	2	8	1	13	0	0	3	2	0	1	0	3	3	2	0	0	2	0	3	0	1	0	1	0	2	5	0	1	2	1	3	0	1	2	21	0	5	1	1	5	3	1	1	2	1	1	0	7	2	0	0	3	7	0	0	1	4	1	0	0	1	0	1	1	0	0	0	1	0	4	2	0	0	0	0	0	4	4	0	0	0	0	4	1	0	4	0	0	1	2	0	1	1	0	2	1	2	3	3	0	0	0	1	0	1	3	0	1	0	3	1	5	0	0	5	0	0	1	1	0	3	0	0	2	1	5	0	2	0	2	0	0	0	1	0	0	1	5
An Ethiopian King	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	2	0	0	5	0	0	2	0	0	0	4	0	2	0	0	5	0	1	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	12	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	5	0	4	0	0	0	0	0	0	0	1	1	0	0	3	5	1	2	1	0	1	0	0	0	3	1	0	0	0	0	1	0	0	0	1	0	0	3	1	0	3	2	2	0	0	0	1	0	0	2	0	0	2	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	2	0	3	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	9	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	2	1	1	0	0	0	0	1	0	0	3	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2	0	1	1	3	0	1	3	0	1	2	0	0	0	3	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2	2	0	0	0	2	0	5	0	0	3	0	1	0	1	0	0	1	4	3	0	0	1	0	1	5	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0
sixoryx	0	1	0	5	0	0	0	0	0	0	0	0	1	2	1	0	2	0	1	1	3	0	1	0	0	0	2	5	5	2	0	2	1	2	0	2	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	2	1	0	1	1	1	2	0	0	1	1	0	0	1	0	0	0	0	0	3	1	0	0	0	2	0	1	0	1	3	0	0	0	1	0	3	0	0	5	0	2	0	2	2	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	2	3	0	1	6	0	0	0	0	0	0	0	2	0	1	0	4	3	1	3	0	0	0	0	2	3	0	1	0	0	5	1	0	8	0	2	0	1	0	0	24	1	0	0	1	0	3	1	0	2	0	0	0	1	0	1	3	11	0	0	2	0	0	1	0	0	1	3	5	0	1	0	2	0	2	6	0	2	2	3	1	1	2	2	1	2	0	0	1	4	3	3	0	2	0	1	0	0	0	2	0	0	0	1	4	1	1	1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	7	0	5	2	3	2	0	0	0	2	0	1	0	1	0	11	1	3	2	0	0	1	1	0	1	0	2	0	0	0	1	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	3	4	0	0	1	0	0	0	2	0	0	1	7	1	0	0	0	2	0	1	0	0	1	2	0	0	1	2	0	0	0	0	0	1	2	0	0	1	0	1	1	1	0	0	0	0	4	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	4	0	3	1	0	0	1	4	0	1	1	1	0	0	1	0	1	3	0	0	1	2	1	1	1	0	0	3	0	0	0	0	0	0	5	3	0	0	0	0	5	1	1	15	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	1	0	1	0	1	5	0	0	0	0	1	1	3	0	0	0	0	1	1	2	5	2	0	1	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	2	1	0	6	0	3	0	0	1	2	0	2	3	2	2	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	2	0	1	1	0	0	0	2	0	0	2	0	0	0	0
ruminations of a redhead	1	0	7	1	10	14	35	0	1	0	12	0	0	1	50	1	6	13	1	4	3	1	0	0	1	28	3	2	0	8	0	8	5	3	5	2	3	0	4	1	2	1	0	0	3	0	5	1	20	9	1	0	0	8	4	5	2	25	1	1	0	1	3	8	1	0	3	0	0	34	2	1	0	3	4	1	2	9	2	1	0	0	3	0	0	0	11	6	0	1	24	2	1	1	4	0	7	2	0	1	3	2	3	0	3	9	0	0	6	2	2	1	3	4	3	7	0	1	8	4	2	0	2	14	0	1	30	2	0	0	1	1	0	2	4	0	2	7	1	1	8	1	1	2	1	10	0	1	0	0	1	2	6	6	0	4	1	0	16	5	6	0	2	1	1	5	3	0	7	5	0	0	1	10	4	3	3	0	3	2	0	7	5	6	1	4	11	2	3	2	2	1	1	3	7	2	0	6	3	3	1	0	1	5	5	0	7	0	0	5	4	0	0	18	0	10	11	1	1	13	5	0	0	1	14	5	2	4	1	3	1	2	0	1	4	1	3	0	5	0	57	2	7	1	2	4	1	2	8	1	3	0	1	3	5	1	1	6	2	3	16	6	11	1	15	1	7	2	1	1	1	1	0	10	6	0	0	1	5	6	1	1	0	0	10	1	3	0	17	3	1	0	1	4	2	3	0	4	4	13	33	8	3	2	2	3	1	2	6	13	0	2	7	0	0	1	0	3	0	2	0	4	1	1	7	7	0	0	5	1	0	1	3	12	3	0	0	1	1	1	1	3	1	2	1	5	2	0	0	3	7	0	1	4	8	1	2	3	2	5	20	7	3	2	5	3	0	0	1	2	13	7	2	4	2	10	1	1	1	0	0	2	5	0	0	4	1	1	1	2	7	6	2	1	2	4	6	2	1	0	0	1	0	1	2	5	2	8	3	4	1	0	0	4	3	0	0	0	9	2	6	0	1	0	1	0	5	0	1	0	14	2	1	0	8	1	2	0	5	0	9	1	7	0	4	4	3	3	0	2	0	2	2	2	4	0	0	1	2	2	7	0	0	0	3	0	12	1	0	1	4	1	4	0	2	0	1	7	12	7	3	0	0	0	0	1	3	1	1	1	0	2	4	2	1	5	0	8	1	1
Scrapple Dog	2	0	1	2	26	37	15	4	1	0	10	0	0	1	0	0	4	29	4	0	0	1	1	7	2	1	4	5	2	1	1	6	1	4	1	1	0	2	11	2	3	1	0	1	2	0	1	0	1	8	2	0	0	7	0	16	0	0	4	2	1	1	2	0	6	5	18	1	4	1	1	1	0	2	1	4	1	10	2	1	0	0	8	3	0	9	2	2	0	6	2	15	1	8	3	3	2	6	15	0	2	0	0	0	7	8	2	1	1	4	3	2	6	2	0	6	0	12	0	0	1	0	6	0	0	15	1	2	0	4	0	0	0	2	0	0	1	12	3	0	1	2	3	1	1	1	3	0	2	2	7	4	1	0	2	5	4	0	3	4	4	1	2	2	0	0	3	5	0	5	0	0	4	5	5	1	0	0	1	1	2	7	45	1	14	2	1	4	0	4	2	2	3	3	0	2	21	2	0	0	9	5	2	9	7	0	1	1	23	0	3	0	0	0	0	0	1	0	0	9	1	0	1	0	3	1	0	4	2	1	4	0	0	3	7	2	2	2	9	0	4	6	1	4	0	4	2	2	0	5	1	0	8	0	0	1	0	5	3	0	2	0	0	6	0	0	3	4	0	1	7	1	0	1	6	3	1	0	1	1	1	0	3	1	24	0	1	5	1	1	0	1	1	1	2	2	2	3	1	1	0	3	4	2	3	0	2	1	0	0	3	0	1	1	2	8	0	6	0	3	2	0	0	1	8	2	1	0	8	0	2	2	0	2	1	0	0	0	0	0	1	1	0	5	2	0	0	1	0	0	3	0	1	5	3	0	0	3	2	0	1	3	1	0	1	0	0	0	1	1	1	1	1	1	3	0	0	0	1	8	1	4	0	1	0	0	10	0	2	26	1	2	0	6	3	1	5	0	1	0	1	11	3	0	2	5	0	4	2	0	0	0	1	2	0	31	2	1	3	12	0	1	8	7	3	1	0	1	0	2	0	3	3	4	1	1	1	1	1	1	0	0	0	2	2	5	0	2	0	1	0	2	1	0	2	0	2	0	1	5	1	156	0	0	2	0	7	0	1	1	1	3	1	2	1	0	0	9	10	5	2	3	0	2	0	0	2	0	0	2	5	7	2	1	0	1	0	0	1	0
Chasing Adi	0	0	0	0	1	0	1	0	0	0	0	0	0	6	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Rhythm The Life	0	19	0	17	1	0	0	0	0	134	0	0	0	4	2	2	0	0	0	2	0	13	0	0	4	0	0	24	3	2	1	0	1	3	0	0	1	0	2	0	1	3	2	0	2	0	12	11	0	2	0	27	0	0	0	2	0	2	0	0	0	1	4	4	4	0	0	2	0	24	35	1	191	1	1	1	0	0	0	1	2	1	1	4	2	0	9	0	1	11	5	3	0	2	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	4	0	0	0	0	0	0	11	5	0	0	1	0	13	0	0	0	0	0	18	2	4	0	0	0	2	2	1	0	3	1	2	1	0	0	28	2	0	4	1	0	0	3	0	0	0	7	0	0	4	3	2	0	79	0	4	0	0	0	3	31	2	0	1	0	0	1	4	0	5	0	11	2	0	1	1	3	2	3	0	0	3	2	0	0	0	2	0	1	8	0	0	10	0	11	0	0	0	0	0	1	0	0	0	0	6	0	1	1	2	2	0	0	1	0	4	1	0	3	1	0	0	0	3	0	2	0	0	4	0	2	1	0	3	3	3	0	3	0	3	1	0	2	2	0	0	1	6	8	0	4	0	1	0	2	2	0	0	0	5	0	1	0	0	1	0	0	6	0	0	0	1	7	0	0	11	5	4	2	0	15	4	0	1	1	1	1	3	2	0	2	4	0	1	0	1	0	0	0	4	5	0	0	1	0	0	3	0	3	4	51	0	0	0	0	0	2	1	0	1	7	0	0	0	0	0	0	0	0	14	2	2	2	0	1	0	0	1	0	2	1	1	0	2	0	0	1	3	2	0	0	2	0	1	0	0	0	0	0	2	0	0	4	0	0	0	0	6	0	1	4	4	0	2	1	2	0	9	0	4	2	0	0	0	1	0	4	2	1	0	0	3	0	0	0	1	1	0	0	0	1	1	3	1	0	0	0	3	8	1	0	0	0	3	3	0	5	0	3	0	2	3	0	0	0	1	0	0	1	0	2	16	0	6	0	17	0	0	0	0	2	0	2	1	0	0	0	1	0	0	0	3	2	3	0	1	1	2	0	1	0	0	0	0	1	0	2	0	2	1	2	0	1	1	0	0	3	0	1	8	0	8	9
